
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70162
Dataset:bace, Split:size, Fewshot_True_500, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:51, Best Acc:0.53824
Dataset:bace, Split:size, Fewshot_True_500, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.53539, std: 0.03164
Dataset:bace, Split:random, Fewshot_True_500, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:56, Best Acc:0.83316
Dataset:bace, Split:random, Fewshot_True_500, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.83187, std: 0.00233
Dataset:bace, Split:random, Fewshot_True_500, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:77, Best Acc:0.83491
Dataset:bace, Split:random, Fewshot_True_500, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.83450, std: 0.00046
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70092
Dataset:bace, Split:scaffold, Fewshot_True_500, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.70133, std: 0.00030
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:0, Best Acc:0.68945
Dataset:bace, Split:size, Fewshot_False_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:68, Best Acc:0.59765
Dataset:bace, Split:random, Fewshot_False_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:89, Best Acc:0.83999
Dataset:bace, Split:random, Fewshot_False_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:63, Best Acc:0.83824
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:0, Best Acc:0.68301
